Iteration	Alpha	Abs_Diff_Flows	Rel_Diff_Flows	QoPI	QoPI_Flow
   96	       0.000300	       8.892000	       0.002500	     283.567800	       0.021800
   97	       0.000300	       8.900600	       0.002500	     284.405000	       0.021800
   98	       0.000300	       8.930500	       0.002500	     284.884600	       0.021800
   99	       0.000300	       8.953100	       0.002500	     285.043700	       0.021800
  100	       0.000300	       8.975200	       0.002500	     284.917900	       0.021800
  101	       0.000300	       8.999200	       0.002500	     284.539400	       0.021800
  102	       0.000300	       9.018000	       0.002500	     283.935000	       0.021700
  103	       0.000300	       9.035500	       0.002500	     283.137600	       0.021700
  104	       0.000300	       9.050200	       0.002500	     282.167300	       0.021600
  105	       0.000300	       9.063200	       0.002500	     281.045900	       0.021500
  106	       0.000300	       9.074100	       0.002500	     279.792900	       0.021300
  107	       0.000300	       9.083300	       0.002500	     278.425700	       0.021200
  108	       0.000300	       9.091000	       0.002500	     276.960100	       0.021100
  109	       0.000300	       9.097200	       0.002500	     275.409800	       0.021000
  110	       0.000300	       9.053000	       0.002500	     273.401900	       0.020800
  111	       0.000300	       8.995600	       0.002500	     271.148800	       0.020700
  112	       0.000300	       8.956400	       0.002500	     268.945800	       0.020500
  113	       0.000300	       8.926400	       0.002500	     266.788900	       0.020300
  114	       0.000300	       8.900900	       0.002500	     264.675500	       0.020200
  115	       0.000300	       8.877700	       0.002500	     262.603700	       0.020000
  116	       0.000300	       8.711000	       0.002400	     260.514700	       0.019900
  117	       0.000300	       8.586600	       0.002400	     258.492400	       0.019700
  118	       0.000300	       8.509700	       0.002400	     256.541800	       0.019600
  119	       0.000300	       8.456700	       0.002300	     254.653100	       0.019400
  120	       0.000300	       8.415900	       0.002300	     252.819700	       0.019300
  121	       0.000300	       8.381600	       0.002300	     251.037200	       0.019200
  122	       0.000300	       8.350900	       0.002300	     249.301700	       0.019000
  123	       0.000300	       8.322200	       0.002300	     247.610100	       0.018900
  124	       0.000300	       8.294900	       0.002300	     245.959700	       0.018800
  125	       0.000300	       8.268600	       0.002300	     244.348000	       0.018600
  126	       0.000300	       8.242900	       0.002300	     242.772700	       0.018500
  127	       0.000300	       8.217700	       0.002300	     241.254600	       0.018400
  128	       0.000300	       7.991500	       0.002200	     239.309300	       0.018200
  129	       0.000300	       7.680400	       0.002100	     237.055200	       0.018100
  130	       0.000300	       7.480600	       0.002100	     234.897500	       0.017900
  131	       0.000300	       7.335500	       0.002000	     232.757500	       0.017700
  132	       0.000300	       7.217800	       0.002000	     230.749500	       0.017600
  133	       0.000300	       7.115600	       0.002000	     228.858800	       0.017400
  134	       0.000300	       7.023300	       0.002000	     227.073900	       0.017300
  135	       0.000300	       6.937800	       0.001900	     225.384000	       0.017100
  136	       0.000300	       6.857200	       0.001900	     223.784400	       0.017000
  137	       0.000300	       6.780800	       0.001900	     222.224400	       0.016900
  138	       0.000300	       6.715500	       0.001900	     220.718200	       0.016700
  139	       0.000300	       6.674400	       0.001900	     219.285200	       0.016600
  140	       0.000300	       6.644900	       0.001800	     217.917300	       0.016500
  141	       0.000300	       6.621100	       0.001800	     216.608900	       0.016400
  142	       0.000300	       6.598900	       0.001800	     215.355100	       0.016300
  143	       0.000300	       6.579200	       0.001800	     214.151900	       0.016200
  144	       0.000300	       6.490700	       0.001800	     212.936400	       0.016100
  145	       0.000200	       6.272700	       0.001700	     211.606700	       0.016000
  146	       0.000200	       6.157300	       0.001700	     210.350100	       0.015900
  147	       0.000200	       6.091000	       0.001700	     209.151600	       0.015800
  148	       0.000200	       6.048700	       0.001700	     208.002400	       0.015700
  149	       0.000200	       6.018400	       0.001700	     206.898900	       0.015700
  150	       0.000200	       5.726900	       0.001600	     205.480900	       0.015500
  151	       0.000200	       5.479500	       0.001500	     204.020600	       0.015400
  152	       0.000200	       5.347900	       0.001500	     202.639500	       0.015300
  153	       0.000200	       5.271600	       0.001500	     201.318600	       0.015200
  154	       0.000200	       5.227200	       0.001500	     200.047700	       0.015100
  155	       0.000200	       5.198400	       0.001400	     198.820300	       0.015000
  156	       0.000200	       5.177700	       0.001400	     197.632300	       0.014900
  157	       0.000200	       5.161300	       0.001400	     196.480700	       0.014900
  158	       0.000200	       5.147200	       0.001400	     195.363100	       0.014800
  159	       0.000200	       5.134700	       0.001400	     194.277600	       0.014700
  160	       0.000200	       5.123100	       0.001400	     193.222300	       0.014600
  161	       0.000200	       5.112100	       0.001400	     192.195600	       0.014500
  162	       0.000200	       5.101800	       0.001400	     191.196100	       0.014400
  163	       0.000200	       5.091900	       0.001400	     190.222200	       0.014400
  164	       0.000200	       5.082400	       0.001400	     189.272600	       0.014300
  165	       0.000200	       5.073800	       0.001400	     188.346000	       0.014200
  166	       0.000200	       5.064700	       0.001400	     187.574100	       0.014200
  167	       0.000200	       5.058600	       0.001400	     186.820900	       0.014100
  168	       0.000200	       5.053900	       0.001400	     186.081900	       0.014000
  169	       0.000200	       5.048600	       0.001400	     185.356200	       0.014000
  170	       0.000200	       5.044000	       0.001400	     184.643200	       0.013900
  171	       0.000200	       5.039800	       0.001400	     183.942100	       0.013900
  172	       0.000200	       5.035700	       0.001400	     183.252200	       0.013800
  173	       0.000200	       5.031800	       0.001400	     182.572900	       0.013700
  174	       0.000200	       5.028000	       0.001400	     181.903600	       0.013700
  175	       0.000200	       5.024200	       0.001400	     181.243700	       0.013600
  176	       0.000200	       5.019700	       0.001400	     180.592700	       0.013600
  177	       0.000200	       5.016700	       0.001400	     179.950200	       0.013500
  178	       0.000200	       5.013000	       0.001400	     179.315500	       0.013500
  179	       0.000200	       5.009300	       0.001400	     178.688300	       0.013400
  180	       0.000200	       5.005600	       0.001400	     178.068100	       0.013400
  181	       0.000200	       5.001800	       0.001400	     177.454500	       0.013300
  182	       0.000200	       4.998100	       0.001400	     176.847200	       0.013300
  183	       0.000200	       4.994400	       0.001400	     176.245800	       0.013200
  184	       0.000200	       4.990600	       0.001400	     175.649900	       0.013200
  185	       0.000200	       4.986800	       0.001400	     175.059200	       0.013100
  186	       0.000200	       4.983000	       0.001400	     174.473500	       0.013100
  187	       0.000200	       4.979200	       0.001400	     173.892300	       0.013000
  188	       0.000200	       4.975300	       0.001400	     173.315500	       0.013000
  189	       0.000200	       4.971400	       0.001400	     172.761500	       0.012900
  190	       0.000200	       4.968000	       0.001400	     172.220300	       0.012900
  191	       0.000200	       4.965100	       0.001400	     171.685400	       0.012900
  192	       0.000200	       4.962600	       0.001400	     171.156200	       0.012800
  193	       0.000200	       4.960400	       0.001400	     170.632400	       0.012800
  194	       0.000200	       4.958300	       0.001400	     170.113700	       0.012700
  195	       0.000200	       4.956500	       0.001400	     169.599800	       0.012700
  196	       0.000200	       4.954800	       0.001400	     169.090300	       0.012600
  197	       0.000200	       4.953200	       0.001400	     168.584900	       0.012600
  198	       0.000200	       4.951800	       0.001400	     168.083400	       0.012600
  199	       0.000200	       4.950600	       0.001400	     167.585500	       0.012500
  200	       0.000200	       4.949400	       0.001400	     167.091000	       0.012500
  201	       0.000200	       4.948400	       0.001400	     166.599600	       0.012400
  202	       0.000200	       4.947500	       0.001400	     166.111100	       0.012400
  203	       0.000200	       4.946700	       0.001400	     165.625300	       0.012400
  204	       0.000200	       4.946000	       0.001400	     165.141900	       0.012300
  205	       0.000200	       4.945400	       0.001400	     164.660800	       0.012300
  206	       0.000200	       4.944900	       0.001400	     164.181800	       0.012200
  207	       0.000200	       4.944500	       0.001400	     163.704700	       0.012200
  208	       0.000200	       4.944100	       0.001400	     163.229300	       0.012200
  209	       0.000200	       4.943800	       0.001400	     162.755500	       0.012100
  210	       0.000200	       4.943600	       0.001400	     162.283100	       0.012100
  211	       0.000200	       4.943500	       0.001400	     161.812000	       0.012000
  212	       0.000200	       4.943400	       0.001400	     161.342000	       0.012000
  213	       0.000200	       4.943300	       0.001400	     160.873100	       0.012000
  214	       0.000200	       4.943400	       0.001400	     160.405000	       0.011900
  215	       0.000200	       4.943400	       0.001400	     159.937600	       0.011900
  216	       0.000200	       4.943500	       0.001400	     159.470900	       0.011800
  217	       0.000200	       4.495900	       0.001200	     158.692900	       0.011800
  218	       0.000200	       4.184500	       0.001200	     157.899000	       0.011700
  219	       0.000200	       4.020200	       0.001100	     157.144700	       0.011600
  220	       0.000200	       3.923300	       0.001100	     156.416300	       0.011500
  221	       0.000200	       3.859000	       0.001100	     155.707000	       0.011400
  222	       0.000200	       3.811000	       0.001100	     155.013100	       0.011300
  223	       0.000200	       3.772600	       0.001000	     154.332600	       0.011300
  224	       0.000200	       3.737000	       0.001000	     153.664100	       0.011200
  225	       0.000200	       3.705200	       0.001000	     153.007000	       0.011100
  226	       0.000200	       3.677400	       0.001000	     152.360600	       0.011100
  227	       0.000200	       3.658500	       0.001000	     151.724000	       0.011000
  228	       0.000200	       3.644200	       0.001000	     151.096100	       0.010900
  229	       0.000200	       3.632400	       0.001000	     150.476300	       0.010900
  230	       0.000200	       3.546100	       0.001000	     149.827900	       0.010800
  231	       0.000200	       3.496500	       0.001000	     149.192100	       0.010800
  232	       0.000200	       3.466300	       0.001000	     148.566100	       0.010700
  233	       0.000200	       3.445800	       0.001000	     147.948000	       0.010700
  234	       0.000200	       3.430100	       0.001000	     147.340100	       0.010600
  235	       0.000200	       3.416900	       0.000900	     146.777400	       0.010600
  236	       0.000200	       3.404900	       0.000900	     146.219400	       0.010500
  237	       0.000200	       3.393700	       0.000900	     145.667500	       0.010500
  238	       0.000200	       3.382900	       0.000900	     145.121300	       0.010400
  239	       0.000200	       3.372500	       0.000900	     144.580600	       0.010400
  240	       0.000200	       3.362300	       0.000900	     144.045100	       0.010300
  241	       0.000200	       3.352400	       0.000900	     143.514800	       0.010300
  242	       0.000200	       3.342700	       0.000900	     142.989300	       0.010300
  243	       0.000200	       3.333200	       0.000900	     142.468500	       0.010200
  244	       0.000200	       3.323800	       0.000900	     141.952300	       0.010200
  245	       0.000200	       3.314700	       0.000900	     141.440400	       0.010100
  246	       0.000200	       3.305700	       0.000900	     140.932700	       0.010100
  247	       0.000200	       3.296800	       0.000900	     140.429100	       0.010000
  248	       0.000200	       3.288100	       0.000900	     139.929400	       0.010000
  249	       0.000200	       3.279600	       0.000900	     139.433600	       0.010000
  250	       0.000200	       3.271200	       0.000900	     138.941400	       0.009900
  251	       0.000200	       3.262900	       0.000900	     138.452700	       0.009900
  252	       0.000200	       3.254700	       0.000900	     137.967500	       0.009800
  253	       0.000200	       3.246700	       0.000900	     137.485600	       0.009800
  254	       0.000200	       3.238800	       0.000900	     137.007000	       0.009800
  255	       0.000200	       3.231000	       0.000900	     136.531400	       0.009700
  256	       0.000200	       3.223300	       0.000900	     136.059000	       0.009700
  257	       0.000200	       3.215700	       0.000900	     135.589400	       0.009700
  258	       0.000200	       3.208200	       0.000900	     135.122700	       0.009600
  259	       0.000200	       3.200800	       0.000900	     134.658800	       0.009600
  260	       0.000200	       3.193500	       0.000900	     134.197600	       0.009500
  261	       0.000200	       3.186300	       0.000900	     133.739000	       0.009500
  262	       0.000200	       3.179200	       0.000900	     133.282900	       0.009500
  263	       0.000200	       3.172100	       0.000900	     132.829400	       0.009400
  264	       0.000200	       3.165100	       0.000900	     132.378200	       0.009400
  265	       0.000200	       3.158200	       0.000900	     131.929400	       0.009400
  266	       0.000200	       3.150300	       0.000900	     131.482900	       0.009300
  267	       0.000200	       3.144000	       0.000900	     131.038800	       0.009300
  268	       0.000200	       3.138400	       0.000900	     130.596800	       0.009300
  269	       0.000200	       3.133200	       0.000900	     130.156900	       0.009200
  270	       0.000200	       3.125700	       0.000900	     129.718900	       0.009200
  271	       0.000200	       3.118700	       0.000900	     129.283100	       0.009200
  272	       0.000200	       3.112000	       0.000900	     128.849300	       0.009100
  273	       0.000200	       3.105500	       0.000900	     128.417500	       0.009100
  274	       0.000200	       3.099100	       0.000900	     127.987600	       0.009100
  275	       0.000200	       3.092800	       0.000900	     127.559600	       0.009000
  276	       0.000200	       3.086500	       0.000900	     127.133400	       0.009000
  277	       0.000200	       3.080300	       0.000900	     126.709100	       0.009000
  278	       0.000200	       3.074100	       0.000900	     126.286500	       0.008900
  279	       0.000200	       3.068000	       0.000900	     125.865700	       0.008900
  280	       0.000200	       3.061900	       0.000900	     125.446600	       0.008900
  281	       0.000200	       3.055900	       0.000800	     125.029200	       0.008800
  282	       0.000200	       3.049900	       0.000800	     124.613400	       0.008800
  283	       0.000200	       3.043900	       0.000800	     124.199300	       0.008800
  284	       0.000200	       3.038000	       0.000800	     123.786800	       0.008700
  285	       0.000200	       3.032100	       0.000800	     123.375900	       0.008700
  286	       0.000200	       3.026200	       0.000800	     122.966600	       0.008700
  287	       0.000200	       3.020400	       0.000800	     122.558800	       0.008600
  288	       0.000200	       3.014500	       0.000800	     122.152600	       0.008600
  289	       0.000200	       3.008800	       0.000800	     121.747800	       0.008600
  290	       0.000200	       3.003000	       0.000800	     121.344600	       0.008500
  291	       0.000200	       2.997300	       0.000800	     120.942800	       0.008500
  292	       0.000200	       2.991600	       0.000800	     120.542500	       0.008500
  293	       0.000200	       2.985900	       0.000800	     120.143600	       0.008400
  294	       0.000200	       2.980300	       0.000800	     119.746200	       0.008400
  295	       0.000200	       2.974600	       0.000800	     119.350100	       0.008400
  296	       0.000200	       2.969000	       0.000800	     118.955500	       0.008400
  297	       0.000200	       2.963400	       0.000800	     118.562300	       0.008300
  298	       0.000200	       2.957900	       0.000800	     118.170400	       0.008300
  299	       0.000200	       2.952300	       0.000800	     117.779900	       0.008300
  300	       0.000200	       2.946800	       0.000800	     117.390800	       0.008200
  301	       0.000200	       2.941300	       0.000800	     117.003000	       0.008200
  302	       0.000200	       2.935800	       0.000800	     116.616500	       0.008200
  303	       0.000200	       2.930300	       0.000800	     116.231400	       0.008200
  304	       0.000200	       2.926800	       0.000800	     115.847600	       0.008100
  305	       0.000200	       2.922000	       0.000800	     115.465000	       0.008100
  306	       0.000200	       2.916600	       0.000800	     115.083600	       0.008100
  307	       0.000200	       2.910900	       0.000800	     114.703500	       0.008000
  308	       0.000200	       2.905100	       0.000800	     114.324800	       0.008000
  309	       0.000200	       2.899200	       0.000800	     113.947300	       0.008000
  310	       0.000200	       2.893300	       0.000800	     113.591600	       0.008000
  311	       0.000200	       2.888600	       0.000800	     113.264900	       0.007900
  312	       0.000200	       2.884100	       0.000800	     112.939000	       0.007900
  313	       0.000200	       2.879700	       0.000800	     112.615200	       0.007900
  314	       0.000200	       2.875400	       0.000800	     112.307500	       0.007800
  315	       0.000200	       2.871800	       0.000800	     111.980300	       0.007800
  316	       0.000200	       2.867900	       0.000800	     111.641700	       0.007800
  317	       0.000200	       2.864800	       0.000800	     111.303900	       0.007800
  318	       0.000200	       2.861300	       0.000800	     110.966900	       0.007700
  319	       0.000200	       2.855400	       0.000800	     110.630600	       0.007700
  320	       0.000200	       2.852200	       0.000800	     110.295200	       0.007700
  321	       0.000200	       2.847200	       0.000800	     109.960600	       0.007700
  322	       0.000200	       2.841400	       0.000800	     109.626700	       0.007600
  323	       0.000200	       2.835200	       0.000800	     109.293700	       0.007600
  324	       0.000200	       2.831300	       0.000800	     108.961600	       0.007600
  325	       0.000200	       2.827100	       0.000800	     108.576500	       0.007600
  326	       0.000200	       2.822200	       0.000800	     108.182600	       0.007500
  327	       0.000200	       2.816000	       0.000800	     107.793700	       0.007500
  328	       0.000200	       2.810500	       0.000800	     107.409500	       0.007500
  329	       0.000200	       2.805400	       0.000800	     107.029900	       0.007500
  330	       0.000200	       2.800500	       0.000800	     106.654600	       0.007400
  331	       0.000200	       2.795700	       0.000800	     106.283600	       0.007400
  332	       0.000200	       2.789800	       0.000800	     105.916500	       0.007400
  333	       0.000200	       2.784300	       0.000800	     105.553400	       0.007300
  334	       0.000200	       2.778900	       0.000800	     105.194100	       0.007300
  335	       0.000200	       2.773700	       0.000800	     104.838300	       0.007300
  336	       0.000200	       2.768600	       0.000800	     104.486100	       0.007300
  337	       0.000200	       2.763500	       0.000800	     104.137100	       0.007200
  338	       0.000200	       2.760500	       0.000800	     103.791400	       0.007200
  339	       0.000200	       2.756500	       0.000800	     103.448700	       0.007200
  340	       0.000200	       2.752100	       0.000800	     103.108800	       0.007200
  341	       0.000200	       2.747500	       0.000800	     102.771800	       0.007100
  342	       0.000200	       2.742700	       0.000800	     102.437500	       0.007100
  343	       0.000200	       2.738000	       0.000800	     102.105900	       0.007100
  344	       0.000200	       2.733400	       0.000800	     101.776800	       0.007100
  345	       0.000200	       2.728700	       0.000800	     101.450200	       0.007000
  346	       0.000200	       2.724200	       0.000800	     101.126000	       0.007000
  347	       0.000200	       2.719600	       0.000800	     100.804100	       0.007000
  348	       0.000200	       2.715100	       0.000800	     100.484300	       0.006900
  349	       0.000200	       2.710700	       0.000800	     100.166700	       0.006900
  350	       0.000200	       2.706300	       0.000800	      99.851100	       0.006900
  351	       0.000200	       2.702000	       0.000800	      99.537500	       0.006900
  352	       0.000200	       2.697700	       0.000700	      99.225900	       0.006800
  353	       0.000200	       2.693400	       0.000700	      98.916000	       0.006800
  354	       0.000200	       2.689200	       0.000700	      98.608000	       0.006800
  355	       0.000200	       2.685000	       0.000700	      98.301700	       0.006800
  356	       0.000200	       2.680800	       0.000700	      97.997000	       0.006700
  357	       0.000200	       2.676700	       0.000700	      97.693900	       0.006700
  358	       0.000200	       2.672600	       0.000700	      97.392400	       0.006700
  359	       0.000200	       2.668500	       0.000700	      97.092500	       0.006700
  360	       0.000200	       2.662500	       0.000700	      96.793900	       0.006600
  361	       0.000200	       2.657400	       0.000700	      96.496900	       0.006600
  362	       0.000200	       2.652800	       0.000700	      96.201400	       0.006600
  363	       0.000200	       2.648500	       0.000700	      95.904200	       0.006600
  364	       0.000200	       2.644300	       0.000700	      95.573700	       0.006500
  365	       0.000200	       2.639700	       0.000700	      95.244600	       0.006500
  366	       0.000200	       2.634900	       0.000700	      94.916900	       0.006500
  367	       0.000200	       2.630000	       0.000700	      94.590500	       0.006400
  368	       0.000200	       2.625100	       0.000700	      94.265500	       0.006400
  369	       0.000200	       2.620200	       0.000700	      93.941800	       0.006400
  370	       0.000200	       2.615300	       0.000700	      93.619500	       0.006300
  371	       0.000200	       2.610400	       0.000700	      93.298400	       0.006300
  372	       0.000200	       2.605500	       0.000700	      92.978600	       0.006300
  373	       0.000200	       2.600700	       0.000700	      92.660000	       0.006200
  374	       0.000200	       2.595800	       0.000700	      92.342700	       0.006200
  375	       0.000200	       2.591000	       0.000700	      92.026500	       0.006200
  376	       0.000200	       2.586200	       0.000700	      91.711500	       0.006200
  377	       0.000200	       2.581400	       0.000700	      91.397700	       0.006100
  378	       0.000200	       2.575700	       0.000700	      91.085000	       0.006100
  379	       0.000200	       2.570600	       0.000700	      90.773400	       0.006100
  380	       0.000200	       2.565800	       0.000700	      90.463100	       0.006000
  381	       0.000200	       2.561100	       0.000700	      90.153800	       0.006000
  382	       0.000200	       2.556600	       0.000700	      89.845500	       0.006000
  383	       0.000200	       2.552100	       0.000700	      89.538400	       0.006000
  384	       0.000200	       2.547600	       0.000700	      89.232300	       0.005900
  385	       0.000200	       2.543200	       0.000700	      88.927200	       0.005900
  386	       0.000200	       2.538700	       0.000700	      88.623100	       0.005900
  387	       0.000200	       2.534300	       0.000700	      88.320000	       0.005800
  388	       0.000200	       2.529900	       0.000700	      88.018000	       0.005800
  389	       0.000200	       2.525500	       0.000700	      87.716900	       0.005800
  390	       0.000200	       2.521100	       0.000700	      87.416800	       0.005800
  391	       0.000200	       2.516700	       0.000700	      87.117700	       0.005700
  392	       0.000200	       2.512400	       0.000700	      86.819500	       0.005700
  393	       0.000200	       2.508000	       0.000700	      86.522300	       0.005700
  394	       0.000200	       2.503700	       0.000700	      86.226100	       0.005700
  395	       0.000200	       2.499300	       0.000700	      85.930800	       0.005600
  396	       0.000200	       2.340100	       0.000700	      85.659300	       0.005600
  397	       0.000100	       2.191000	       0.000600	      85.593600	       0.005600
  398	       0.000100	       2.112000	       0.000600	      85.548200	       0.005600
  399	       0.000100	       2.072200	       0.000600	      85.498900	       0.005600
  400	       0.000100	       2.050900	       0.000600	      85.445600	       0.005500
